gid,no_cidade,nome_da_nidade,valor,taxa
5943,Mariópolis,<i>Mariópolis</i>,<b>0</b>,0
7459,Aparecida de Goiânia,<i>Aparecida de Goiânia</i>,<b>30</b>,30
7204,Itapiúna,<i>Itapiúna</i>,<b>1</b>,1
6765,Santa Luzia,<i>Santa Luzia</i>,<b>1</b>,1
7058,Prata do Piauí,<i>Prata do Piauí</i>,<b>0</b>,0
8038,Nova Ibiá,<i>Nova Ibiá</i>,<b>1</b>,1
6113,Tomazina,<i>Tomazina</i>,<b>1</b>,1
7393,Pontes e Lacerda,<i>Pontes e Lacerda</i>,<b>2</b>,2
10401,Conceição das Alagoas,<i>Conceição das Alagoas</i>,<b>6</b>,6
7305,Alto Garças,<i>Alto Garças</i>,<b>1</b>,1
7134,Assaré,<i>Assaré</i>,<b>6</b>,6
7789,Arataca,<i>Arataca</i>,<b>1</b>,1
8655,Oriente,<i>Oriente</i>,<b>1</b>,1
9292,Arroio do Meio,<i>Arroio do Meio</i>,<b>2</b>,2
6710,Massaranduba,<i>Massaranduba</i>,<b>0</b>,0
6772,São Bento,<i>São Bento</i>,<b>1</b>,1
9915,Glória do Goitá,<i>Glória do Goitá</i>,<b>4</b>,4
8440,Emilianópolis,<i>Emilianópolis</i>,<b>0</b>,0
7414,Rosário Oeste,<i>Rosário Oeste</i>,<b>1</b>,1
8660,Osvaldo Cruz,<i>Osvaldo Cruz</i>,<b>2</b>,2
7236,Mulungu,<i>Mulungu</i>,<b>1</b>,1
11055,Viçosa,<i>Viçosa</i>,<b>1</b>,1
10140,Atalaia do Norte,<i>Atalaia do Norte</i>,<b>6</b>,6
7532,Goianápolis,<i>Goianápolis</i>,<b>2</b>,2
10525,Gouveia,<i>Gouveia</i>,<b>2</b>,2
8661,Ourinhos,<i>Ourinhos</i>,<b>6</b>,6
9465,Hulha Negra,<i>Hulha Negra</i>,<b>3</b>,3
9480,Ipiranga do Sul,<i>Ipiranga do Sul</i>,<b>1</b>,1
9490,Jaboticaba,<i>Jaboticaba</i>,<b>2</b>,2
5645,Mocajuba,<i>Mocajuba</i>,<b>2</b>,2
8614,Mogi das Cruzes,<i>Mogi das Cruzes</i>,<b>7</b>,7
10699,Miravânia,<i>Miravânia</i>,<b>2</b>,2
5991,Paula Freitas,<i>Paula Freitas</i>,<b>0</b>,0
10395,Coimbra,<i>Coimbra</i>,<b>0</b>,0
9395,Cristal do Sul,<i>Cristal do Sul</i>,<b>1</b>,1
7967,Jaborandi,<i>Jaborandi</i>,<b>0</b>,0
10907,Santa Rosa da Serra,<i>Santa Rosa da Serra</i>,<b>0</b>,0
5963,Nova Aurora,<i>Nova Aurora</i>,<b>0</b>,0
9312,Barros Cassal,<i>Barros Cassal</i>,<b>0</b>,0
5577,Afuá,<i>Afuá</i>,<b>1</b>,1
5844,Fernandes Pinheiro,<i>Fernandes Pinheiro</i>,<b>0</b>,0
9450,Gentil,<i>Gentil</i>,<b>0</b>,0
5930,Mandaguaçu,<i>Mandaguaçu</i>,<b>1</b>,1
7684,Vicentinópolis,<i>Vicentinópolis</i>,<b>1</b>,1
9477,Independência,<i>Independência</i>,<b>1</b>,1
8734,Presidente Epitácio,<i>Presidente Epitácio</i>,<b>0</b>,0
10057,Craíbas,<i>Craíbas</i>,<b>2</b>,2
11030,Turvolândia,<i>Turvolândia</i>,<b>1</b>,1
6573,Serra do Mel,<i>Serra do Mel</i>,<b>1</b>,1
10497,Felixlândia,<i>Felixlândia</i>,<b>1</b>,1
8564,Jundiaí,<i>Jundiaí</i>,<b>7</b>,7
5813,Colorado,<i>Colorado</i>,<b>1</b>,1
6986,Inhuma,<i>Inhuma</i>,<b>2</b>,2
10816,Poços de Caldas,<i>Poços de Caldas</i>,<b>6</b>,6
